epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,26584.9,0.65969,2.12949,1.19026,1.20285,0,0.63122,0.6382,0.64046,0.48709,0.62429,0.62505,0.62316,0.44146,0.81565,2.35437,1.25756,1.02857,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,27381.5,0.65778,2.12184,1.18963,1.20143,0,0.63055,0.63954,0.64148,0.48842,0.62435,0.62592,0.62435,0.44233,0.81419,2.35036,1.25296,1.02677,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,28173.8,0.65867,2.12463,1.19027,1.20246,0,0.63071,0.64093,0.64261,0.48941,0.62731,0.62359,0.6255,0.44356,0.81321,2.34541,1.24987,1.02544,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,790.325,0.65175,2.1036,1.17716,1.19904,0,0.63386,0.64112,0.64451,0.49124,0.62659,0.62864,0.62721,0.44569,0.81107,2.34126,1.24656,1.02369,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1574.71,0.65476,2.12483,1.18631,1.19988,0,0.63022,0.64612,0.6458,0.4931,0.62536,0.62964,0.62859,0.44689,0.80976,2.33709,1.24424,1.02249,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2357.85,0.65538,2.12487,1.18774,1.20093,0,0.62882,0.65093,0.64758,0.49438,0.62219,0.63675,0.62978,0.44865,0.80725,2.33522,1.24049,1.02074,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3140.82,0.65458,2.11437,1.18285,1.20043,0,0.62727,0.65255,0.64879,0.49566,0.62262,0.63679,0.63098,0.4501,0.80703,2.33168,1.23787,1.0207,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3924.03,0.65346,2.11586,1.18257,1.19946,0,0.62789,0.6513,0.6497,0.49679,0.62263,0.63656,0.63192,0.45118,0.8062,2.32801,1.23537,1.02015,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4707.23,0.65417,2.11158,1.17893,1.19903,0,0.63142,0.65226,0.65099,0.49818,0.62483,0.63842,0.63318,0.45231,0.80502,2.32431,1.2342,1.01906,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,5489.76,0.6514,2.10962,1.18029,1.19826,0,0.63528,0.64944,0.65229,0.49926,0.62862,0.63418,0.63439,0.45334,0.80418,2.32281,1.23213,1.01872,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6273.53,0.65098,2.09967,1.17329,1.19757,0,0.63898,0.64781,0.65289,0.50043,0.63171,0.63445,0.63544,0.4547,0.80401,2.31873,1.23155,1.01873,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7056.49,0.65168,2.09662,1.1694,1.19661,0,0.63902,0.64932,0.6534,0.50146,0.63353,0.63439,0.63605,0.45592,0.80318,2.31764,1.2293,1.01764,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7840.03,0.64936,2.09183,1.16817,1.19548,0,0.64178,0.64568,0.65429,0.50251,0.63787,0.63198,0.63721,0.45712,0.80224,2.31422,1.22787,1.01714,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,8622.54,0.65021,2.09327,1.1663,1.19547,0,0.645,0.64764,0.65553,0.50355,0.64114,0.6311,0.63853,0.45796,0.80118,2.31228,1.22563,1.01621,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,9406.17,0.64806,2.09155,1.16252,1.19433,0,0.645,0.64747,0.65633,0.50486,0.63945,0.63506,0.64,0.45892,0.80041,2.30886,1.22328,1.01546,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,10189.4,0.64803,2.07967,1.16091,1.19421,0,0.64374,0.64876,0.65733,0.50597,0.63789,0.63561,0.64096,0.46019,0.80001,2.30681,1.22186,1.01532,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
